Unnamed: 0,Mystery_Allocation
5/12/2022,98.7550204
5/13/2022,100.6592999
5/16/2022,100.5156025
5/17/2022,102.2743417
5/18/2022,101.4422132
5/19/2022,100.7874595
5/20/2022,101.7817647
5/23/2022,102.3553851
5/24/2022,101.0311727
5/25/2022,101.3887275
5/26/2022,102.3935524
5/27/2022,104.4692107
5/30/2022,106.2532774
5/31/2022,105.9205827
6/1/2022,105.0158643
6/2/2022,105.4303778
6/3/2022,104.7906848
6/6/2022,105.7255266
6/7/2022,105.0212305
6/8/2022,105.468923
6/9/2022,103.997149
6/10/2022,101.751243
6/13/2022,98.25682704
6/14/2022,97.86811579
6/15/2022,98.7998963
6/16/2022,96.59821994
6/17/2022,96.58663557
6/20/2022,97.15431218
6/21/2022,98.22394149
6/22/2022,97.22196175
6/23/2022,96.98001309
6/24/2022,99.10163648
6/27/2022,100.2779026
6/28/2022,99.90561693
6/29/2022,98.7901355
6/30/2022,97.483991
7/1/2022,96.94640691
7/4/2022,97.82145414
7/5/2022,98.22853104
7/6/2022,97.15328086
7/7/2022,98.8538402
7/8/2022,99.09727364
7/11/2022,99.66614659
7/12/2022,98.49713081
7/13/2022,98.7903188
7/14/2022,98.6410775
7/15/2022,98.76600338
7/18/2022,99.26604774
7/19/2022,100.0469827
7/20/2022,102.129394
7/21/2022,102.5003257
7/22/2022,103.0886859
7/25/2022,102.3522689
7/26/2022,102.2873668
7/27/2022,102.4872389
7/28/2022,103.2046216
7/29/2022,103.2213056
8/1/2022,103.6195073
8/2/2022,102.1126284
8/3/2022,102.3196687
8/4/2022,102.5010122
8/5/2022,103.285377
8/8/2022,103.6861057
8/9/2022,102.9456501
8/10/2022,103.1495058
8/11/2022,103.4580587
8/12/2022,105.0665814
8/15/2022,105.5662444
8/16/2022,105.2948222
8/17/2022,106.1327596
8/18/2022,105.3078197
8/19/2022,105.1821402
8/22/2022,104.6872687
8/23/2022,103.7005347
8/24/2022,103.1939723
8/25/2022,103.9922436
8/26/2022,104.0500859
8/29/2022,101.901175
8/30/2022,102.7403759
8/31/2022,102.4221197
9/1/2022,100.9222717
9/2/2022,100.7530657
9/5/2022,100.678058
9/6/2022,100.2531997
9/7/2022,99.43984894
9/8/2022,101.42122
9/9/2022,102.2725272
9/12/2022,103.1480248
9/13/2022,102.8312157
9/14/2022,100.8210094
9/15/2022,100.7662389
9/16/2022,100.092999
9/19/2022,99.98048219
9/20/2022,100.1591761
9/21/2022,98.72120591
9/22/2022,98.19042602
9/23/2022,97.52597863
9/26/2022,95.0225167
9/27/2022,95.28415681
9/28/2022,94.262567
9/29/2022,95.12789872
9/30/2022,93.77460474
10/3/2022,94.58592568
10/4/2022,97.29524989
10/5/2022,97.81175898
10/6/2022,97.86552962
10/7/2022,96.82254583
10/10/2022,96.25027492
10/11/2022,94.61385643
10/12/2022,94.36406508
10/13/2022,93.95995407
10/14/2022,95.79639027
10/17/2022,95.21220991
10/18/2022,96.51642558
10/19/2022,96.4783335
10/20/2022,95.89872309
10/21/2022,95.32628746
10/24/2022,95.6494
10/25/2022,96.72162404
10/26/2022,97.46853457
10/27/2022,97.07867454
10/28/2022,96.30245314
10/31/2022,97.13758981
11/1/2022,98.02538134
11/2/2022,98.38656287
11/3/2022,97.65612343
11/4/2022,97.35624835
11/7/2022,98.52303097
11/8/2022,99.75290325
11/9/2022,99.03769681
11/10/2022,99.24425645
11/11/2022,102.3345416
11/14/2022,101.7648058
11/15/2022,102.2696059
11/16/2022,102.0374647
11/17/2022,101.6802386
11/18/2022,101.7597806
11/21/2022,101.406381
11/22/2022,102.4632182
11/23/2022,102.8262401
11/24/2022,104.0753784
11/25/2022,103.9389058
11/28/2022,103.1862812
11/29/2022,103.0373857
11/30/2022,103.1160919
12/1/2022,104.0391167
12/2/2022,102.6208373
12/5/2022,102.5591207
12/6/2022,102.5422449
12/7/2022,102.1470066
12/8/2022,102.0604542
12/9/2022,103.111469
12/12/2022,102.7585336
12/13/2022,103.7926789
12/14/2022,104.2799076
12/15/2022,103.3202937
12/16/2022,102.3062342
12/19/2022,101.5130509
12/20/2022,100.480129
12/21/2022,100.3310718
12/22/2022,100.8501491
12/23/2022,100.4207267
12/26/2022,100.6120432
12/27/2022,100.723672
12/28/2022,100.7254266
12/29/2022,100.280359
12/30/2022,100.1908965
1/2/2023,100.211615
1/3/2023,101.3401108
1/4/2023,103.0535591
1/5/2023,103.2014475
1/6/2023,104.0144363
1/9/2023,104.9226623
1/10/2023,105.0269327
1/11/2023,105.3329969
1/12/2023,106.0636881
1/13/2023,105.9704752
1/16/2023,105.9958014
1/17/2023,105.6576562
1/18/2023,105.6835154
1/19/2023,105.064364
1/20/2023,105.3538923
1/23/2023,105.946698
1/24/2023,106.1179175
1/25/2023,106.1525631
1/26/2023,106.1608615
1/27/2023,105.8803547
1/30/2023,105.1729177
1/31/2023,105.3606936
2/1/2023,106.1050409
2/2/2023,107.3824648
2/3/2023,106.2066907
2/6/2023,105.2583927
2/7/2023,105.6365531
2/8/2023,105.7366638
2/9/2023,105.8556398
2/10/2023,104.7817383
2/13/2023,104.617779
